"Organism","Element ID","Element Description","Promoter","Transgenesis","Stage","Expression","Tissues","Genome Assembly","Element Coordinates"
"Mouse","mm145.0","reference","Hsp68","random","e11.5","positive","Heart, Other","mm10","chr4:120391603-120393946"
"Mouse","mm1450.0","reference","Hsp68","random","e11.5","negative","","mm10","chr19:45057481-45059842"
"Mouse","mm1451.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube, Cranial nerve","mm10","chr5:112236129-112240520"
"Mouse","mm1452.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Neural tube","mm10","chr3:51787852-51791869"
"Mouse","mm1453.0","reference","Hsp68","random","e11.5","negative","","mm10","chr5:125140066-125142757"
"Mouse","mm1454.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube, Eye","mm10","chr2:25124845-25128090"
"Mouse","mm1456.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr12:109946504-109950294"
"Mouse","mm1457.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Cranial nerve, Dorsal root ganglion","mm10","chr18:38378941-38381638"
"Mouse","mm1458.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr8:93916782-93919741"
"Mouse","mm1459.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:65973873-65976364"
"Mouse","mm146.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr11:77422469-77424441"
"Mouse","mm1460.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube, Eye","mm10","chr1:133185980-133189493"
"Mouse","mm1461.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Nose, Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr2:154425426-154428462"
"Mouse","mm1462.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Hindbrain, Neural tube, Dorsal root ganglion, Trigeminal V (ganglion, cranial)","mm10","chr11:113783367-113787793"
"Mouse","mm1463.0","reference","Hsp68","random","e11.5","positive","Forebrain","mm10","chr5:21731579-21734432"
"Mouse","mm1464.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr8:126825533-126828569"
"Mouse","mm1465.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr11:18712145-18713157"
"Mouse","mm1466.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:18714900-18715612"
"Mouse","mm1466.0","reference","Hsp68","random","e14.5","positive","Eye","mm10","chr11:18714900-18715612"
"Mouse","mm1469.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Forebrain, Midbrain, Hindbrain, Neural tube, Heart","mm10","chr12:80059965-80065110"
"Mouse","mm1470.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Neural tube, Dorsal root ganglion, Trigeminal V (ganglion, cranial)","mm10","chr6:90780495-90784241"
"Mouse","mm1471.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr16:35584523-35589773"
"Mouse","mm1472.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:20654380-20657594"
"Mouse","mm1473.0","reference","Hsp68","random","e11.5","positive","Limb, Eye","mm10","chr9:72639094-72641466"
"Mouse","mm1474.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb","mm10","chr6:72710179-72712952"
"Mouse","mm1475.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Limb","mm10","chr9:106354104-106358319"
"Mouse","mm1476.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Limb, Dorsal root ganglion","mm10","chr2:128712175-128715819"
"Mouse","mm1477.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:51312386-51316734"
"Mouse","mm1478.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr15:91016522-91020048"
"Mouse","mm1479.0","reference","Hsp68","random","e11.5","negative","","mm10","chr17:29354850-29357878"
"Mouse","mm148.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Neural tube","mm10","chr1:67794929-67796464"
"Mouse","mm1480.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain","mm10","chr6:112808528-112813000"
"Mouse","mm1481.0","reference","Hsp68","random","e11.5","positive","Dorsal root ganglion, Other","mm10","chr11:120314873-120317426"
"Mouse","mm1482.0","reference","Hsp68","random","e11.5","negative","","mm10","chr17:37028041-37029979"
"Mouse","mm1483.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Hindbrain, Cranial nerve, Dorsal root ganglion, Trigeminal V (ganglion, cranial)","mm10","chr8:90860971-90863490"
"Mouse","mm1484.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Limb, Eye, Heart","mm10","chr7:123096694-123099867"
"Mouse","mm1485.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr14:24261692-24264509"
"Mouse","mm1486.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr9:41227902-41230545"
"Mouse","mm1487.0","reference","Hsp68","random","e11.5","negative","","mm10","chr10:59919229-59922102"
"Mouse","mm1488.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Neural tube","mm10","chr17:10333563-10337174"
"Mouse","mm1489.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Neural tube","mm10","chr7:140056813-140059080"
"Mouse","mm149.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Nose, Limb","mm10","chr8:125217043-125219851"
"Mouse","mm1490.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Nose, Limb, Midbrain, Hindbrain, Neural tube, Somite, Genital tubercle","mm10","chr4:108361018-108364528"
"Mouse","mm1491.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:41934743-41936889"
"Mouse","mm1492.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Limb","mm10","chr4:154707415-154711162"
"Mouse","mm1493.0","reference","Hsp68","random","e11.5","positive","Limb, Eye","mm10","chr9:41949140-41954525"
"Mouse","mm1494.0","reference","Hsp68","random","e11.5","positive","Nose, Midbrain","mm10","chr4:136754322-136758801"
"Mouse","mm1495.0","reference","Hsp68","random","e11.5","negative","","mm10","chr14:65342605-65345502"
"Mouse","mm1496.0","reference","Hsp68","random","e11.5","positive","Forebrain, Hindbrain","mm10","chr11:94158655-94162177"
"Mouse","mm1497.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Hindbrain, Neural tube, Heart","mm10","chr7:145204877-145207696"
"Mouse","mm1498.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain","mm10","chr14:19984462-19988065"
"Mouse","mm1499.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr17:66478396-66482145"
"Mouse","mm15.0","reference","Hsp68","random","e11.5","positive","Forebrain","mm10","chr18:33552068-33554381"
"Mouse","mm1500.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr14:66492741-66497119"
"Mouse","mm1501.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:84344551-84350110"
"Mouse","mm1502.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr14:76253890-76257212"
"Mouse","mm1503.0","reference","Hsp68","random","e11.5","positive","Limb, Midbrain, Hindbrain, Cranial nerve, Dorsal root ganglion, Trigeminal V (ganglion, cranial)","mm10","chr14:40955282-40959325"
"Mouse","mm1504.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr16:44528746-44534514"
"Mouse","mm1505.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Limb, Somite","mm10","chr3:101394801-101399299"
"Mouse","mm1506.0","reference","Hsp68","random","e11.5","positive","Limb, Blood vessels","mm10","chr4:139597441-139601336"
"Mouse","mm1507.0","reference","Hsp68","random","e11.5","negative","","mm10","chr8:11584424-11587803"
"Mouse","mm1508.0","reference","Hsp68","random","e11.5","negative","","mm10","chr10:91179718-91183751"
"Mouse","mm1509.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain","mm10","chr9:63058010-63060489"
"Mouse","mm151.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Neural tube","mm10","chr8:31942005-31944993"
"Mouse","mm1510.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:33593467-33596065"
"Mouse","mm1511.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:70559085-70560255"
"Mouse","mm1512.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:16854925-16857237"
"Mouse","mm1513.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:95173859-95175593"
"Mouse","mm1514.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr7:82713868-82717092"
"Mouse","mm1515.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Neural tube","mm10","chr2:166215189-166217391"
"Mouse","mm1516.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme, Midbrain","mm10","chr6:89241345-89243919"
"Mouse","mm1517.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:182981864-182984314"
"Mouse","mm1518.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr9:63958315-63961551"
"Mouse","mm1519.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:46452307-46455505"
"Mouse","mm152.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr18:80330122-80332361"
"Mouse","mm1520.0","reference","Hsp68","random","e11.5","negative","","mm10","chr8:124313443-124316007"
"Mouse","mm1521.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:111161954-111163777"
"Mouse","mm1522.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr5:114298723-114301210"
"Mouse","mm1523.0","reference","Hsp68","random","e11.5","negative","","mm10","chr14:100374296-100376562"
"Mouse","mm1524.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr6:52365164-52368224"
"Mouse","mm1525.0","reference","Hsp68","random","e11.5","positive","Forebrain, Hindbrain","mm10","chr17:28105717-28108643"
"Mouse","mm1526.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Neural tube","mm10","chr11:113307639-113310548"
"Mouse","mm1527.0","reference","Hsp68","random","e12.5","positive","Branchial arch, Limb, Trigeminal V (ganglion, cranial)","mm10","chr4:106864588-106867291"
"Mouse","mm1528.0","reference","Hsp68","random","e12.5","negative","","mm10","chr11:55022514-55024354"
"Mouse","mm1529.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr3:34411658-34412604"
"Mouse","mm153.0","reference","Hsp68","random","e11.5","negative","","mm10","chr1:154033856-154034855"
"Mouse","mm1530.0","reference","Hsp68","random","e12.5","positive","Ear","mm10","chr11:62965778-62968280"
"Mouse","mm1531.0","reference","Hsp68","random","e12.5","positive","Forebrain, Hindbrain","mm10","chr6:127250137-127252417"
"Mouse","mm1532.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Cranial nerve","mm10","chr4:148859471-148860956"
"Mouse","mm1533.0","reference","Hsp68","random","e11.5","positive","Forebrain, Other","mm10","chr5:125214963-125216753"
"Mouse","mm1534.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Hindbrain, Neural tube","mm10","chr7:93060869-93063626"
"Mouse","mm1535.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:54610385-54613247"
"Mouse","mm1536.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:86798248-86799852"
"Mouse","mm1537.0","reference","Hsp68","random","e11.5","positive","Neural tube","mm10","chr3:104540534-104542671"
"Mouse","mm1538.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr17:62851927-62854939"
"Mouse","mm1539.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:70329472-70332465"
"Mouse","mm154.0","reference","Hsp68","random","e11.5","positive","Heart","mm10","chr11:11956742-11957741"
"Mouse","mm1540.0","reference","Hsp68","random","e11.5","positive","Hindbrain","mm10","chr8:108243823-108246831"
"Mouse","mm1541.0","reference","Hsp68","random","e11.5","positive","Forebrain, Neural tube","mm10","chr3:5386841-5389926"
"Mouse","mm1542.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube, Cranial nerve","mm10","chr14:63585329-63587537"
"Mouse","mm1543.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:77335353-77337280"
"Mouse","mm1544.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:94723154-94725386"
"Mouse","mm1545.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:54759740-54761758"
"Mouse","mm1546.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain, Neural tube, Cranial nerve, Dorsal root ganglion, Trigeminal V (ganglion, cranial)","mm10","chr1:9648223-9650965"
"Mouse","mm1547.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:50451431-50453445"
"Mouse","mm1548.0","reference","Hsp68","random","e11.5","positive","Forebrain, Other","mm10","chr6:145855046-145857046"
"Mouse","mm1549.0","reference","Hsp68","random","e11.5","positive","Forebrain, Neural tube","mm10","chr3:127705248-127707248"
"Mouse","mm1550.0","reference","Hsp68","random","e11.5","negative","","mm10","chr5:140767048-140769052"
"Mouse","mm1551.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:144165683-144167703"
"Mouse","mm1552.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Dorsal root ganglion","mm10","chr19:41715402-41718238"
"Mouse","mm1553.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr9:86186309-86188376"
"Mouse","mm1554.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:121359503-121361504"
"Mouse","mm1555.0","reference","Hsp68","random","e11.5","positive","Midbrain, Hindbrain","mm10","chr11:26772020-26774013"
"Mouse","mm1556.0","reference","Hsp68","random","e11.5","positive","Forebrain, Hindbrain","mm10","chr13:76809879-76811879"
"Mouse","mm1557.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Neural tube","mm10","chr6:65309702-65311689"
"Mouse","mm1558.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr7:117685707-117687616"
"Mouse","mm1559.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:5801484-5804011"
"Mouse","mm156.0","reference","Hsp68","random","e11.5","positive","Other","mm10","chr17:12203955-12205747"
"Mouse","mm1560.0","reference","Hsp68","random","e11.5","negative","","mm10","chr4:154593394-154596395"
"Mouse","mm1561.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Eye","mm10","chr2:163188663-163191536"
"Mouse","mm1562.0","reference","Hsp68","random","e11.5","positive","Tail","mm10","chr19:21164417-21167450"
"Mouse","mm1563.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:32823262-32824682"
"Mouse","mm1564.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb","mm10","chr2:60785660-60787563"
"Mouse","mm1565.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr13:51919913-51922132"
"Mouse","mm1566.0","reference","Hsp68","random","e11.5","positive","Nose","mm10","chr4:148984734-148987251"
"Mouse","mm1567.0","reference","Hsp68","random","e11.5","positive","Limb, Tail","mm10","chr8:87659116-87661534"
"Mouse","mm1568.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:104288616-104290675"
"Mouse","mm1569.0","reference","Hsp68","random","e11.5","positive","Other","mm10","chr5:65414975-65416572"
"Mouse","mm1570.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr14:49121140-49122633"
"Mouse","mm1571.0","reference","Hsp68","random","e11.5","positive","Limb, Hindbrain, Neural tube","mm10","chr15:95638744-95641449"
"Mouse","mm1572.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:81782584-81784020"
"Mouse","mm1573.0","reference","Hsp68","random","e11.5","negative","","mm10","chr10:38972079-38974105"
"Mouse","mm1574.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr7:136389300-136391216"
"Mouse","mm1575.0","reference","Hsp68","random","e11.5","positive","Tail, Somite","mm10","chr1:59333923-59335433"
"Mouse","mm1576.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr5:16778223-16779671"
"Mouse","mm1577.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Hindbrain","mm10","chr3:5348379-5351461"
"Mouse","mm1578.0","reference","Hsp68","random","e11.5","negative","","mm10","chr16:72690693-72694735"
"Mouse","mm1579.0","reference","Hsp68","random","e11.5","negative","","mm10","chr18:15173064-15176000"
"Mouse","mm1580.0","reference","Hsp68","random","e11.5","negative","","mm10","chr13:113913477-113916032"
"Mouse","mm1581.0","reference","Hsp68","random","e11.5","positive","Hindbrain","mm10","chr18:55784854-55787217"
"Mouse","mm1582.0","reference","Hsp68","random","e11.5","negative","","mm10","chr9:107644011-107645376"
"Mouse","mm1583.0","reference","Hsp68","random","e11.5","positive","Midbrain","mm10","chr11:85857229-85860254"
"Mouse","mm1584.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Limb, Neural tube, Eye, Other","mm10","chr15:74155467-74158454"
"Mouse","mm1585.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:83434774-83436371"
"Mouse","mm1586.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Trigeminal V (ganglion, cranial)","mm10","chr7:48749001-48750980"
"Mouse","mm1587.0","reference","Hsp68","random","e11.5","negative","","mm10","chr15:84259559-84261268"
"Mouse","mm1588.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:60365089-60367681"
"Mouse","mm1589.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:107951151-107953994"
"Mouse","mm1590.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:135888196-135890453"
"Mouse","mm1591.0","reference","Hsp68","random","e11.5","negative","","mm10","chr8:108018634-108020810"
"Mouse","mm1592.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:108913631-108917155"
"Mouse","mm1593.0","reference","Hsp68","random","e11.5","negative","","mm10","chr11:118083180-118085181"
"Mouse","mm1594.0","reference","Hsp68","random","e11.5","negative","","mm10","chr6:85022961-85025939"
"Mouse","mm1595.0","reference","Hsp68","random","e11.5","negative","","mm10","chr12:73510499-73513049"
"Mouse","mm1596.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:112867931-112870363"
"Mouse","mm1597.0","reference","Hsp68","random","e11.5","positive","Branchial arch, Facial mesenchyme, Limb, Midbrain, Somite","mm10","chr6:89613039-89615855"
"Mouse","mm1598.0","reference","Hsp68","random","e11.5","positive","Nose, Limb, Forebrain, Midbrain, Hindbrain, Somite, Other","mm10","chr8:26832486-26834858"
"Mouse","mm1599.0","reference","Hsp68","random","e11.5","positive","Limb, Forebrain, Hindbrain, Eye","mm10","chr3:37934422-37937092"
"Mouse","mm16.0","reference","Hsp68","random","e11.5","positive","Forebrain, Midbrain","mm10","chr12:44402523-44405770"
"Mouse","mm160.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:38535055-38537083"
"Mouse","mm1600.0","reference","Hsp68","random","e11.5","positive","Tail","mm10","chr14:21673440-21675700"
"Mouse","mm1601.0","reference","Hsp68","random","e11.5","positive","Facial mesenchyme","mm10","chr1:61202202-61204582"
"Mouse","mm1602.0","reference","Hsp68","random","e11.5","negative","","mm10","chr7:132203278-132205205"
"Mouse","mm1603.0","reference","Hsp68","random","e11.5","positive","Limb","mm10","chr2:93277888-93280895"
"Mouse","mm1604.0","reference","Hsp68","random","e11.5","positive","Hindbrain, Other","mm10","chr12:105972686-105975121"
"Mouse","mm1605.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb, Midbrain, Hindbrain","mm10","chr13:34147928-34150988"
"Mouse","mm1606.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr12:111691971-111695499"
"Mouse","mm1607.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain, Other","mm10","chr5:125392751-125395599"
"Mouse","mm1608.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Forebrain, Midbrain, Hindbrain, Neural tube","mm10","chr9:41734978-41737961"
"Mouse","mm1609.0","reference","Hsp68","random","e12.5","positive","Midbrain","mm10","chr12:27060074-27063099"
"Mouse","mm161.0","reference","Hsp68","random","e11.5","negative","","mm10","chr2:152817376-152818197"
"Mouse","mm1610.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Hindbrain","mm10","chr19:21783786-21786142"
"Mouse","mm1611.0","reference","Hsp68","random","e12.5","positive","Midbrain, Hindbrain","mm10","chr12:79923762-79926852"
"Mouse","mm1612.0","reference","Hsp68","random","e12.5","positive","Midbrain, Eye","mm10","chr2:30646231-30648463"
"Mouse","mm1613.0","reference","Hsp68","random","e12.5","positive","Limb, Somite","mm10","chrX:13240831-13243993"
"Mouse","mm1614.0","reference","Hsp68","random","e12.5","positive","Limb, Forebrain, Midbrain","mm10","chr18:35847683-35850399"
"Mouse","mm1615.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb","mm10","chr8:84741861-84745040"
"Mouse","mm1616.0","reference","Hsp68","random","e12.5","positive","Limb, Other","mm10","chr3:87149552-87152003"
"Mouse","mm1617.0","reference","Hsp68","random","e12.5","positive","Limb, Somite","mm10","chr9:43252109-43255189"
"Mouse","mm1618.0","reference","Hsp68","random","e12.5","negative","","mm10","chr1:162185511-162188824"
"Mouse","mm1619.0","reference","Hsp68","random","e12.5","positive","Nose, Limb, Ear","mm10","chr5:142999832-143002122"
"Mouse","mm1620.0","reference","Hsp68","random","e12.5","positive","Limb, Ear, Tail","mm10","chr17:46617885-46620197"
"Mouse","mm1621.0","reference","Hsp68","random","e12.5","negative","","mm10","chr10:59963764-59966670"
"Mouse","mm1622.0","reference","Hsp68","random","e12.5","positive","Limb, Midbrain, Somite","mm10","chr11:118238372-118241185"
"Mouse","mm1623.0","reference","Hsp68","random","e12.5","positive","Limb, Ear","mm10","chr18:60669095-60671807"
"Mouse","mm1624.0","reference","Hsp68","random","e12.5","positive","Limb","mm10","chr9:40729777-40732407"
"Mouse","mm1625.0","reference","Hsp68","random","e12.5","negative","","mm10","chr8:107467502-107470017"
"Mouse","mm1626.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb, Ear","mm10","chr5:136861070-136864935"
"Mouse","mm1627.0","reference","Hsp68","random","e12.5","positive","Limb","mm10","chr9:118979486-118981788"
"Mouse","mm1628.0","reference","Hsp68","random","e12.5","negative","","mm10","chr4:133089620-133092047"
"Mouse","mm1629.0","reference","Hsp68","random","e12.5","positive","Branchial arch, Limb","mm10","chr16:17809211-17811153"
"Mouse","mm163.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:60602215-60603664"
"Mouse","mm1630.0","reference","Hsp68","random","e12.5","positive","Midbrain, Hindbrain","mm10","chr1:74110236-74112663"
"Mouse","mm1631.0","reference","Hsp68","random","e12.5","negative","","mm10","chr7:112839907-112841788"
"Mouse","mm1632.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Neural tube","mm10","chr18:9215673-9216934"
"Mouse","mm1633.0","reference","Hsp68","random","e12.5","positive","Forebrain","mm10","chr4:11761242-11763766"
"Mouse","mm1635.0","reference","Hsp68","random","e12.5","positive","Limb","mm10","chr15:99419954-99421557"
"Mouse","mm1636.0","reference","Hsp68","random","e12.5","positive","Limb, Midbrain","mm10","chr16:96845600-96847968"
"Mouse","mm1637.0","reference","Hsp68","random","e12.5","positive","Midbrain, Hindbrain, Neural tube","mm10","chr16:44671282-44673116"
"Mouse","mm1638.0","reference","Hsp68","random","e12.5","negative","","mm10","chr6:53623771-53625083"
"Mouse","mm1639.0","reference","Hsp68","random","e12.5","positive","Forebrain, Hindbrain","mm10","chr17:90695380-90697670"
"Mouse","mm164.0","reference","Hsp68","random","e11.5","negative","","mm10","chr3:100482356-100482938"
"Mouse","mm1640.0","reference","Hsp68","random","e12.5","negative","","mm10","chr3:57470121-57471697"
"Mouse","mm1641.0","reference","Hsp68","random","e12.5","positive","Neural tube","mm10","chr19:36896240-36898161"
"Mouse","mm1642.0","reference","Hsp68","random","e12.5","positive","Forebrain, Hindbrain","mm10","chr8:120347326-120349077"
"Mouse","mm1643.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb, Forebrain, Midbrain","mm10","chr1:41274476-41276046"
"Mouse","mm1644.0","reference","Hsp68","random","e12.5","positive","Heart, Blood vessels","mm10","chr15:77797760-77801299"
"Mouse","mm1645.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr17:26849146-26852797"
"Mouse","mm1646.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb, Heart, Somite","mm10","chr2:163362453-163365471"
"Mouse","mm1647.0","reference","Hsp68","random","e12.5","positive","Hindbrain, Dorsal root ganglion, Trigeminal V (ganglion, cranial), Heart","mm10","chr7:130667903-130671018"
"Mouse","mm1648.0","reference","Hsp68","random","e12.5","positive","Heart, Blood vessels","mm10","chr4:135253467-135256150"
"Mouse","mm1649.0","reference","Hsp68","random","e12.5","negative","","mm10","chr7:90145589-90146592"
"Mouse","mm165.0","reference","Hsp68","random","e11.5","positive","Eye, Heart","mm10","chr4:119019153-119020076"
"Mouse","mm1650.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr3:79689528-79691127"
"Mouse","mm1651.0","reference","Hsp68","random","e12.5","positive","Midbrain, Heart","mm10","chr8:91966331-91968303"
"Mouse","mm1652.0","reference","Hsp68","random","e12.5","negative","","mm10","chr9:120026606-120028316"
"Mouse","mm1653.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr3:126722861-126724972"
"Mouse","mm1654.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr19:32106651-32108318"
"Mouse","mm1655.0","reference","Hsp68","random","e12.5","negative","","mm10","chr13:29627108-29628937"
"Mouse","mm1656.0","reference","Hsp68","random","e12.5","negative","","mm10","chr8:71281631-71283979"
"Mouse","mm1657.0","reference","Hsp68","random","e12.5","negative","","mm10","chr1:165104293-165106305"
"Mouse","mm1658.0","reference","Hsp68","random","e12.5","positive","Tail","mm10","chr17:69180624-69182497"
"Mouse","mm1659.0","reference","Hsp68","random","e12.5","negative","","mm10","chr12:12355526-12357482"
"Mouse","mm1660.0","reference","Hsp68","random","e12.5","positive","Forebrain, Midbrain, Hindbrain, Neural tube, Cranial nerve","mm10","chr13:84058231-84061074"
"Mouse","mm1661.0","reference","Hsp68","random","e12.5","positive","Forebrain, Neural tube","mm10","chr9:121311714-121314947"
"Mouse","mm1662.0","reference","Hsp68","random","e12.5","negative","","mm10","chr12:29094890-29097594"
"Mouse","mm1663.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Ear, Forebrain, Heart","mm10","chr10:60813778-60816843"
"Mouse","mm1664.0","reference","Hsp68","random","e12.5","positive","Facial mesenchyme, Limb, Somite","mm10","chr18:35839235-35842928"
"Mouse","mm1665.0","reference","Hsp68","random","e12.5","positive","Limb, Eye, Heart, Somite","mm10","chr8:124642912-124645752"
"Mouse","mm1666.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr8:104608437-104612614"
"Mouse","mm1667.0","reference","Hsp68","random","e12.5","negative","","mm10","chr9:119980591-119982776"
"Mouse","mm1668.0","reference","Hsp68","random","e12.5","positive","Heart","mm10","chr4:45506080-45509417"
"Mouse","mm1669.0","reference","Hsp68","random","e12.5","negative","","mm10","chr8:95358674-95361818"
