Pubmed	Chromosome	Start_position	End_position	Enhancer_related_genes	Description	Species	Tissue_class	Experiment_class	Title	SNP_related	SNP_id	Disease	Cell_class	Enhancer_id	Enhancer_experiment	Enhancer_tar_ex_De	Enhancer_type	target_gene_strong_experiment	target_gene_weak_experiment	target_gene_experiment_description	target_gene_other_name	Enhancer_function	Enhancer_function_experiment	En_function_ex_de	TF_name	TF_other_name	Experiment	TF_experiment_de	SNP_position	SNP_experiment	Target_gene
31530818	chr17	7659021	7661021	TP53	FitHiChIP also captures previously validated enhancer interactions for several genes including MYC, TP53, and NMU.	human	blood	High+Lowthroughput	Identification of significant chromatin contacts from HiChIP data by FitHiChIP	否	无	leukemia	K562 cell	E_01_0271	Flow cytometry	FitHiChIP also captures previously validated enhancer interactions for several genes including MYC, TP53, and NMU.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			FitHiChIP also captures previously validated enhancer interactions for several genes including MYC, TP53, and NMU.	Immunohistochemical staining	FitHiChIP also captures previously validated enhancer interactions for several genes including MYC, TP53, and NMU.	TP53		Flow cytometry	FitHiChIP also captures previously validated enhancer interactions for several genes including MYC, TP53, and NMU.			
31530812	chr2	24200308	24202308	ITSN2	In the PFC, according to the published transcriptome data of 16 PFC layers and the adjacent white matter48, the expression of ITSN2 is significantly lower in humans and chimpanzees than in rhesus macaques, consistent with their reduced H3K27Ac signals (an indication of enhancer activity) owing to the ASSV that disrupts an ADE in ITSN2 (Fig. 5c, d, g).	human	Nervous tissue	High+Lowthroughput	Long-read assembly of the Chinese rhesus macaque genome and identification of ape-specific structural variants	是	无		neuronal cell	E_01_0272	Flow cytometry,Western blot	In the PFC, according to the published transcriptome data of 16 PFC layers and the adjacent white matter48, the expression of ITSN2 is significantly lower in humans and chimpanzees than in rhesus macaques, consistent with their reduced H3K27Ac signals (an indication of enhancer activity) owing to the ASSV that disrupts an ADE in ITSN2 (Fig. 5c, d, g).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	In the PFC, according to the published transcriptome data of 16 PFC layers and the adjacent white matter48, the expression of ITSN2 is significantly lower in humans and chimpanzees than in rhesus macaques, consistent with their reduced H3K27Ac signals (an indication of enhancer activity) owing to the ASSV that disrupts an ADE in ITSN2 (Fig. 5c, d, g).		In the PFC, according to the published transcriptome data of 16 PFC layers and the adjacent white matter48, the expression of ITSN2 is significantly lower in humans and chimpanzees than in rhesus macaques, consistent with their reduced H3K27Ac signals (an indication of enhancer activity) owing to the ASSV that disrupts an ADE in ITSN2 (Fig. 5c, d, g).	Immunohistochemical staining	In the PFC, according to the published transcriptome data of 16 PFC layers and the adjacent white matter48, the expression of ITSN2 is significantly lower in humans and chimpanzees than in rhesus macaques, consistent with their reduced H3K27Ac signals (an indication of enhancer activity) owing to the ASSV that disrupts an ADE in ITSN2 (Fig. 5c, d, g).			Flow cytometry,Western blot				ITSN2
31530812	chr6	11180134	11182134	NEDD9	Gene expression data of cerebellum in NHPs are not available to check its effect on NEDD9 expression	human	connective tissue	High+Lowthroughput	Long-read assembly of the Chinese rhesus macaque genome and identification of ape-specific structural variants	是	无		male germ cells	E_01_0272	Flow cytometry,Western blot	Gene expression data of cerebellum in NHPs are not available to check its effect on NEDD9 expression	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Gene expression data of cerebellum in NHPs are not available to check its effect on NEDD9 expression		Gene expression data of cerebellum in NHPs are not available to check its effect on NEDD9 expression	Immunohistochemical staining	Gene expression data of cerebellum in NHPs are not available to check its effect on NEDD9 expression			Flow cytometry,Western blot				NEDD9
31530225	chr16	53698982	53700982	FTO	FTO encodes an ortholog to the AlkB family of enzymes that demethylate nucleic acids	human	connective tissue	High+Lowthroughput	Functional genomic characterization of the FTO locus in African Americans	是	rs9927317	Obesity	mesenchymal stem cell	E_01_0273	Flow cytometry	FTO encodes an ortholog to the AlkB family of enzymes that demethylate nucleic acids	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	FTO encodes an ortholog to the AlkB family of enzymes that demethylate nucleic acids		FTO encodes an ortholog to the AlkB family of enzymes that demethylate nucleic acids	Immunohistochemical staining	FTO encodes an ortholog to the AlkB family of enzymes that demethylate nucleic acids			Flow cytometry				FTO
31530225	chr16	53595395	53597395	RPGRIP1L	The first intronic region of FTO is less than 100 bp 3’ from the transcriptional start site of the gene Retinitis Pigmentosa GTPase Regulator-Interacting Protein-1 Like (RPGRIP1L), a ciliary gene (24, 56) that is transcribed in the 5’ direction.	human	connective tissue	High+Lowthroughput	Functional genomic characterization of the FTO locus in African Americans	是	rs62033405	Obesity	mesenchymal stem cell	E_01_0273	Flow cytometry	The first intronic region of FTO is less than 100 bp 3’ from the transcriptional start site of the gene Retinitis Pigmentosa GTPase Regulator-Interacting Protein-1 Like (RPGRIP1L), a ciliary gene (24, 56) that is transcribed in the 5’ direction.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	The first intronic region of FTO is less than 100 bp 3’ from the transcriptional start site of the gene Retinitis Pigmentosa GTPase Regulator-Interacting Protein-1 Like (RPGRIP1L), a ciliary gene (24, 56) that is transcribed in the 5’ direction.		The first intronic region of FTO is less than 100 bp 3’ from the transcriptional start site of the gene Retinitis Pigmentosa GTPase Regulator-Interacting Protein-1 Like (RPGRIP1L), a ciliary gene (24, 56) that is transcribed in the 5’ direction.	Immunohistochemical staining	The first intronic region of FTO is less than 100 bp 3’ from the transcriptional start site of the gene Retinitis Pigmentosa GTPase Regulator-Interacting Protein-1 Like (RPGRIP1L), a ciliary gene (24, 56) that is transcribed in the 5’ direction.			Flow cytometry				RPGRIP1L
31530225	chr7	101813374	101815374	CUX1	We previously showed that rs8050136 resides within a putative binding site for the transcription factor Cut-like Homeobox 1 (CUX1) (46), which regulates expression of FTO and RPGRIP1L (43, 44).	human	Fat	High+Lowthroughput	Functional genomic characterization of the FTO locus in African Americans	是	rs9939609	Obesity	white adipocytes	E_01_0273	Flow cytometry	We previously showed that rs8050136 resides within a putative binding site for the transcription factor Cut-like Homeobox 1 (CUX1) (46), which regulates expression of FTO and RPGRIP1L (43, 44).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			We previously showed that rs8050136 resides within a putative binding site for the transcription factor Cut-like Homeobox 1 (CUX1) (46), which regulates expression of FTO and RPGRIP1L (43, 44).	Immunohistochemical staining	We previously showed that rs8050136 resides within a putative binding site for the transcription factor Cut-like Homeobox 1 (CUX1) (46), which regulates expression of FTO and RPGRIP1L (43, 44).	CUX1		Flow cytometry	We previously showed that rs8050136 resides within a putative binding site for the transcription factor Cut-like Homeobox 1 (CUX1) (46), which regulates expression of FTO and RPGRIP1L (43, 44).			
31530225	chr16	54280685	54282685	IRX3	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	human	Fat	High+Lowthroughput	Functional genomic characterization of the FTO locus in African Americans	是	rs8050136	Obesity	white adipocytes	E_01_0273	Flow cytometry	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.		Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	Immunohistochemical staining	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.			Flow cytometry				IRX3
31530225	chr16	54928124	54930124	IRX5	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	human	Fat	High+Lowthroughput	Functional genomic characterization of the FTO locus in African Americans	是	rs9930506	Obesity	white adipocytes	E_01_0273	Flow cytometry	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.		Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.	Immunohistochemical staining	Other groups have shown that rs9930506 is associated with expression of IRX3 in the brain (39), as well as expression of both IRX3 and IRX5 in adipose tissue (7), with apparent biological relevance conveyed by physical interactions (chromosome conformation) with these genes’ promoters, although the resolution of this chromatin interaction data was not sufficient to detect (or rule out) interactions with RPGRIP1L.			Flow cytometry				IRX5
31530015	chr16	23577727	23579727	NDUFAB1	A dramatic decrease of NDUFAB1 protein was detected in the skeletal muscle of both db/db diabetic mice (Fig. 2A) and HFD-induced insulin resistance mice (Fig. 2B), amid myriads of other changes, such as elevated serum glucose levels, and altered insulin signaling and gene expression (22, 23).	human,mouse	connective tissue	High+Lowthroughput	NDUFAB1 protects against obesity and insulin resistance by enhancing mitochondrial metabolism	否	无	insulin resistance 	murine embryonic stem (ES) cell	E_02_0213	PCR,Western blot	A dramatic decrease of NDUFAB1 protein was detected in the skeletal muscle of both db/db diabetic mice (Fig. 2A) and HFD-induced insulin resistance mice (Fig. 2B), amid myriads of other changes, such as elevated serum glucose levels, and altered insulin signaling and gene expression (22, 23).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	A dramatic decrease of NDUFAB1 protein was detected in the skeletal muscle of both db/db diabetic mice (Fig. 2A) and HFD-induced insulin resistance mice (Fig. 2B), amid myriads of other changes, such as elevated serum glucose levels, and altered insulin signaling and gene expression (22, 23).		A dramatic decrease of NDUFAB1 protein was detected in the skeletal muscle of both db/db diabetic mice (Fig. 2A) and HFD-induced insulin resistance mice (Fig. 2B), amid myriads of other changes, such as elevated serum glucose levels, and altered insulin signaling and gene expression (22, 23).	Immunohistochemical staining	A dramatic decrease of NDUFAB1 protein was detected in the skeletal muscle of both db/db diabetic mice (Fig. 2A) and HFD-induced insulin resistance mice (Fig. 2B), amid myriads of other changes, such as elevated serum glucose levels, and altered insulin signaling and gene expression (22, 23).			PCR,Western blot				NDUFAB1
31529763	chr17	43041465	43043465	BRCA1	Here we study how the N-terminal plastic region of Myc folds in complex with Max in the absence and presence of an E_x0002_box DNA fragment, and another intrinsically disordered binding partner, BRCA1.	human		High+Lowthroughput	(19) F?NMR Spectroscopy Tagging and Paramagnetic Relaxation Enhancement-Based Conformation Analysis of Intrinsically Disordered Protein Complexes	否	无	tumour	E-coli cell	E_01_0274	Flow cytometry	Here we study how the N-terminal plastic region of Myc folds in complex with Max in the absence and presence of an E_x0002_box DNA fragment, and another intrinsically disordered binding partner, BRCA1.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			Here we study how the N-terminal plastic region of Myc folds in complex with Max in the absence and presence of an E_x0002_box DNA fragment, and another intrinsically disordered binding partner, BRCA1.	Immunohistochemical staining	Here we study how the N-terminal plastic region of Myc folds in complex with Max in the absence and presence of an E_x0002_box DNA fragment, and another intrinsically disordered binding partner, BRCA1.	BRCA1		Flow cytometry	Here we study how the N-terminal plastic region of Myc folds in complex with Max in the absence and presence of an E_x0002_box DNA fragment, and another intrinsically disordered binding partner, BRCA1.			
31525599	chr11	10302280	10304280	ADM	ADMs were cut into disks with different diameters (4 mm and 8 mm) using a puncher, placed in a 24-well plate (Corning Costar) and ster_x0002_ilized with water (Millipore) containing 0.1 (v/v) peracetic acid and 4% (v/v) ethanol and incubated for 2 h at room temperature.	human		High+Lowthroughput	Tracing upconversion nanoparticle penetration in human skin	否	无			E_01_0275	PCR, immunofluorescence staining	ADMs were cut into disks with different diameters (4 mm and 8 mm) using a puncher, placed in a 24-well plate (Corning Costar) and ster_x0002_ilized with water (Millipore) containing 0.1 (v/v) peracetic acid and 4% (v/v) ethanol and incubated for 2 h at room temperature.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	ADMs were cut into disks with different diameters (4 mm and 8 mm) using a puncher, placed in a 24-well plate (Corning Costar) and ster_x0002_ilized with water (Millipore) containing 0.1 (v/v) peracetic acid and 4% (v/v) ethanol and incubated for 2 h at room temperature.		ADMs were cut into disks with different diameters (4 mm and 8 mm) using a puncher, placed in a 24-well plate (Corning Costar) and ster_x0002_ilized with water (Millipore) containing 0.1 (v/v) peracetic acid and 4% (v/v) ethanol and incubated for 2 h at room temperature.	Immunohistochemical staining	ADMs were cut into disks with different diameters (4 mm and 8 mm) using a puncher, placed in a 24-well plate (Corning Costar) and ster_x0002_ilized with water (Millipore) containing 0.1 (v/v) peracetic acid and 4% (v/v) ethanol and incubated for 2 h at room temperature.			PCR,免疫荧光染色				ADM
31521883	chr18	63120882	63122882	BCL2	In experiment 4, the effect of trehalose treatment on the mRNA expression of lysosome-associated membrane protein 2 (LAMP2), porcine autophagy-related 5 (pATG5), LC3, BCL2 antagonist/ killer (Bak), BCL2 associated X (Bax), and B-cell lymphoma 2 (Bcl2) in cumulus cells and blastocysts were analyzed.	human	blood	High+Lowthroughput	Trehalose supplementation during porcine oocytes in?vitro maturation improves the developmental capacity of parthenotes	否	无		B cell	E_01_0276	PCR, immunofluorescence staining	In experiment 4, the effect of trehalose treatment on the mRNA expression of lysosome-associated membrane protein 2 (LAMP2), porcine autophagy-related 5 (pATG5), LC3, BCL2 antagonist/ killer (Bak), BCL2 associated X (Bax), and B-cell lymphoma 2 (Bcl2) in cumulus cells and blastocysts were analyzed.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq			In experiment 4, the effect of trehalose treatment on the mRNA expression of lysosome-associated membrane protein 2 (LAMP2), porcine autophagy-related 5 (pATG5), LC3, BCL2 antagonist/ killer (Bak), BCL2 associated X (Bax), and B-cell lymphoma 2 (Bcl2) in cumulus cells and blastocysts were analyzed.	Immunohistochemical staining	In experiment 4, the effect of trehalose treatment on the mRNA expression of lysosome-associated membrane protein 2 (LAMP2), porcine autophagy-related 5 (pATG5), LC3, BCL2 antagonist/ killer (Bak), BCL2 associated X (Bax), and B-cell lymphoma 2 (Bcl2) in cumulus cells and blastocysts were analyzed.	BCL2		PCR,免疫荧光染色	In experiment 4, the effect of trehalose treatment on the mRNA expression of lysosome-associated membrane protein 2 (LAMP2), porcine autophagy-related 5 (pATG5), LC3, BCL2 antagonist/ killer (Bak), BCL2 associated X (Bax), and B-cell lymphoma 2 (Bcl2) in cumulus cells and blastocysts were analyzed.			
31521109	chr11	58037956	58039956	VN2R9P	For the human genome, cluster34 (chr11:54591480– 59,749,574) is the richest cluster of the olfactome 1 Mb cutoff list; it harbors a single VR pseudogene (VN2R9P) in between OR genes. Cluster15 (chr6:131700469–132, 646,003) of the same list is the TAAR locus, which starts with a single, otherwise remarkably isolated (39 Mb) OR gene: OR2A4 [25]	human,mouse	blood	High+Lowthroughput	A purely bioinformatic pipeline for the prediction of mammalian odorant receptor gene enhancers	否	无		T cell	E_02_0214	PCR	For the human genome, cluster34 (chr11:54591480– 59,749,574) is the richest cluster of the olfactome 1 Mb cutoff list; it harbors a single VR pseudogene (VN2R9P) in between OR genes. Cluster15 (chr6:131700469–132, 646,003) of the same list is the TAAR locus, which starts with a single, otherwise remarkably isolated (39 Mb) OR gene: OR2A4 [25]	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	For the human genome, cluster34 (chr11:54591480– 59,749,574) is the richest cluster of the olfactome 1 Mb cutoff list; it harbors a single VR pseudogene (VN2R9P) in between OR genes. Cluster15 (chr6:131700469–132, 646,003) of the same list is the TAAR locus, which starts with a single, otherwise remarkably isolated (39 Mb) OR gene: OR2A4 [25]		For the human genome, cluster34 (chr11:54591480– 59,749,574) is the richest cluster of the olfactome 1 Mb cutoff list; it harbors a single VR pseudogene (VN2R9P) in between OR genes. Cluster15 (chr6:131700469–132, 646,003) of the same list is the TAAR locus, which starts with a single, otherwise remarkably isolated (39 Mb) OR gene: OR2A4 [25]	Immunohistochemical staining	For the human genome, cluster34 (chr11:54591480– 59,749,574) is the richest cluster of the olfactome 1 Mb cutoff list; it harbors a single VR pseudogene (VN2R9P) in between OR genes. Cluster15 (chr6:131700469–132, 646,003) of the same list is the TAAR locus, which starts with a single, otherwise remarkably isolated (39 Mb) OR gene: OR2A4 [25]			PCR				VN2R9P
31520529	chr1	156461014	156463014	MEF2D	Mt2Ddn bound strongly to the ND6-MEF2 site and disrupted the function of normal mitochondrial MEF2D without affecting the expression of the nuclear MEF2 reporter (She et al. 2011).	mouse	Nervous tissue	High+Lowthroughput	Salidroside protects dopaminergic neurons by regulating the mitochondrial MEF2D-ND6 pathway in the MPTP/MPP(+) -induced model of Parkinson's disease	是	无	Parkinson	SN4741 cells	E_02_0215	PCR, immunofluorescence staining, Western blot	Mt2Ddn bound strongly to the ND6-MEF2 site and disrupted the function of normal mitochondrial MEF2D without affecting the expression of the nuclear MEF2 reporter (She et al. 2011).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Mt2Ddn bound strongly to the ND6-MEF2 site and disrupted the function of normal mitochondrial MEF2D without affecting the expression of the nuclear MEF2 reporter (She et al. 2011).		Mt2Ddn bound strongly to the ND6-MEF2 site and disrupted the function of normal mitochondrial MEF2D without affecting the expression of the nuclear MEF2 reporter (She et al. 2011).	Immunohistochemical staining	Mt2Ddn bound strongly to the ND6-MEF2 site and disrupted the function of normal mitochondrial MEF2D without affecting the expression of the nuclear MEF2 reporter (She et al. 2011).			PCR,免疫荧光染色,Western blot				MEF2D
31519749	chr3	142303842	142305842	XRN1	Insect-borne flaviviruses produce a 300- 500 base long noncoding RNA, termed subgenomic flavivirus RNA (sfRNA), by stalling the cellular 5’-3’ exoribonuclease 1 (XRN1) via structures located in their 3’ UTRs.	human		High+Lowthroughput	Zika virus noncoding sfRNAs sequester multiple host-derived RNA-binding proteins and modulate mRNA decay and splicing during infection	否	无	Villous carcinoma	choriocarcinoma cells	E_01_0277	PCR,Western blot	Insect-borne flaviviruses produce a 300- 500 base long noncoding RNA, termed subgenomic flavivirus RNA (sfRNA), by stalling the cellular 5’-3’ exoribonuclease 1 (XRN1) via structures located in their 3’ UTRs.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Insect-borne flaviviruses produce a 300- 500 base long noncoding RNA, termed subgenomic flavivirus RNA (sfRNA), by stalling the cellular 5’-3’ exoribonuclease 1 (XRN1) via structures located in their 3’ UTRs.		Insect-borne flaviviruses produce a 300- 500 base long noncoding RNA, termed subgenomic flavivirus RNA (sfRNA), by stalling the cellular 5’-3’ exoribonuclease 1 (XRN1) via structures located in their 3’ UTRs.	Immunohistochemical staining	Insect-borne flaviviruses produce a 300- 500 base long noncoding RNA, termed subgenomic flavivirus RNA (sfRNA), by stalling the cellular 5’-3’ exoribonuclease 1 (XRN1) via structures located in their 3’ UTRs.			PCR,Western blot				XRN1
31519704	chr9	136491964	136493964	NOTCH1	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	human,mouse	blood	High+Lowthroughput	GATA3-Controlled Nucleosome Eviction Drives MYC Enhancer Activity in T-cell Development and Leukemia	否	无	leukemia	T cell	E_02_0216	PCR,Flow cytometry	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.		MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	Immunohistochemical staining	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.			PCR,Flow cytometry				NOTCH1
31519704	chr8	127732540	127734540	MYC	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	human,mouse	blood	High+Lowthroughput	GATA3-Controlled Nucleosome Eviction Drives MYC Enhancer Activity in T-cell Development and Leukemia	否	无	leukemia	T cell	E_02_0216	PCR,Flow cytometry	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.		MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.	Immunohistochemical staining	MYC is a major effector of NOTCH1 oncogenic programs in T-ALL.			PCR,Flow cytometry				MYC
31519520	chr16	67560000	67562000	CTCF	Sequence constraint was even higher when considering DI bins either bound by CTCF (DI_CTCF) or MYOD (DI_MYOD) or co-bound by these two TFs (DI_MYOD_CTCF) (Figure S5A).	human,mouse	connective tissue	High+Lowthroughput	Transcription Factor-Directed Re-wiring of Chromatin Architecture for Somatic Cell Nuclear Reprogramming toward trans-Differentiation	否	无		somatic cell	E_02_0217	PCR, Western blot, flow cytometry, immunofluorescence staining	Sequence constraint was even higher when considering DI bins either bound by CTCF (DI_CTCF) or MYOD (DI_MYOD) or co-bound by these two TFs (DI_MYOD_CTCF) (Figure S5A).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Sequence constraint was even higher when considering DI bins either bound by CTCF (DI_CTCF) or MYOD (DI_MYOD) or co-bound by these two TFs (DI_MYOD_CTCF) (Figure S5A).		Sequence constraint was even higher when considering DI bins either bound by CTCF (DI_CTCF) or MYOD (DI_MYOD) or co-bound by these two TFs (DI_MYOD_CTCF) (Figure S5A).	Immunohistochemical staining	Sequence constraint was even higher when considering DI bins either bound by CTCF (DI_CTCF) or MYOD (DI_MYOD) or co-bound by these two TFs (DI_MYOD_CTCF) (Figure S5A).			PCR,Western blot,Flow cytometry,免疫荧光染色				CTCF
31519520	chr12	55681811	55683811	ITGA7	Upon ectopic expression, MYOD bound the promoter of ITGA7 and RDH5 at CTCF-bound elements in IMR90 (Figure 4L) and this coincided with increased interaction between the two CTCF-bound re_x0002_gions, as measured by Hi-C (Figures 4K and 4L) and validated by 3C (Figure 4L, bottom right). Importantly, these events corre_x0002_lated with an increased expression of both ITGA7 and RDH5 (Figure 4L, bottom left).	human,mouse	bone	High+Lowthroughput	Transcription Factor-Directed Re-wiring of Chromatin Architecture for Somatic Cell Nuclear Reprogramming toward trans-Differentiation	否	无		mouse cell of skeletal muscle	E_02_0217	PCR, Western blot, flow cytometry, immunofluorescence staining	Upon ectopic expression, MYOD bound the promoter of ITGA7 and RDH5 at CTCF-bound elements in IMR90 (Figure 4L) and this coincided with increased interaction between the two CTCF-bound re_x0002_gions, as measured by Hi-C (Figures 4K and 4L) and validated by 3C (Figure 4L, bottom right). Importantly, these events corre_x0002_lated with an increased expression of both ITGA7 and RDH5 (Figure 4L, bottom left).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Upon ectopic expression, MYOD bound the promoter of ITGA7 and RDH5 at CTCF-bound elements in IMR90 (Figure 4L) and this coincided with increased interaction between the two CTCF-bound re_x0002_gions, as measured by Hi-C (Figures 4K and 4L) and validated by 3C (Figure 4L, bottom right). Importantly, these events corre_x0002_lated with an increased expression of both ITGA7 and RDH5 (Figure 4L, bottom left).		Upon ectopic expression, MYOD bound the promoter of ITGA7 and RDH5 at CTCF-bound elements in IMR90 (Figure 4L) and this coincided with increased interaction between the two CTCF-bound re_x0002_gions, as measured by Hi-C (Figures 4K and 4L) and validated by 3C (Figure 4L, bottom right). Importantly, these events corre_x0002_lated with an increased expression of both ITGA7 and RDH5 (Figure 4L, bottom left).	Immunohistochemical staining	Upon ectopic expression, MYOD bound the promoter of ITGA7 and RDH5 at CTCF-bound elements in IMR90 (Figure 4L) and this coincided with increased interaction between the two CTCF-bound re_x0002_gions, as measured by Hi-C (Figures 4K and 4L) and validated by 3C (Figure 4L, bottom right). Importantly, these events corre_x0002_lated with an increased expression of both ITGA7 and RDH5 (Figure 4L, bottom left).			PCR,Western blot,Flow cytometry,免疫荧光染色				ITGA7
31519520	chr1	201356451	201358451	TNNT2	Upon MYOD induction in fibroblasts and its binding to TNNT2 promoter, we observed an increase in TNNT2 pro_x0002_moter-enhancer interaction together with an increase in TNNT2 expression (Figures 5D–5F).	human,mouse	lung	High+Lowthroughput	Transcription Factor-Directed Re-wiring of Chromatin Architecture for Somatic Cell Nuclear Reprogramming toward trans-Differentiation	否	无		IMR90 cell	E_02_0217	PCR, Western blot, flow cytometry, immunofluorescence staining	Upon MYOD induction in fibroblasts and its binding to TNNT2 promoter, we observed an increase in TNNT2 pro_x0002_moter-enhancer interaction together with an increase in TNNT2 expression (Figures 5D–5F).	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	Upon MYOD induction in fibroblasts and its binding to TNNT2 promoter, we observed an increase in TNNT2 pro_x0002_moter-enhancer interaction together with an increase in TNNT2 expression (Figures 5D–5F).		Upon MYOD induction in fibroblasts and its binding to TNNT2 promoter, we observed an increase in TNNT2 pro_x0002_moter-enhancer interaction together with an increase in TNNT2 expression (Figures 5D–5F).	Immunohistochemical staining	Upon MYOD induction in fibroblasts and its binding to TNNT2 promoter, we observed an increase in TNNT2 pro_x0002_moter-enhancer interaction together with an increase in TNNT2 expression (Figures 5D–5F).			PCR,Western blot,Flow cytometry,免疫荧光染色				TNNT2
31518916	chr7	148804819	148806819	EZH2	The function of histone methyltransferase enhancer of zeste homolog 2 (EZH2) in sepsis remains unknown.	human,mouse	connective tissue	High+Lowthroughput	Novel pharmacological inhibition of EZH2 attenuates septic shock by altering innate inflammatory responses to sepsis	否	无	Sepsis	Inflammatory cell	E_02_0218	PCR, Western blot, flow cytometry, immunofluorescence staining	The function of histone methyltransferase enhancer of zeste homolog 2 (EZH2) in sepsis remains unknown.	Enhancer	qRT-PCR,qPCR,ChIP,3C	RNA-Seq	The function of histone methyltransferase enhancer of zeste homolog 2 (EZH2) in sepsis remains unknown.		The function of histone methyltransferase enhancer of zeste homolog 2 (EZH2) in sepsis remains unknown.	Immunohistochemical staining	The function of histone methyltransferase enhancer of zeste homolog 2 (EZH2) in sepsis remains unknown.			PCR,Western blot,Flow cytometry,免疫荧光染色				EZH2
